"Fiscal_Year","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change","SimpleArea",".group"
2000,"Engines",6268054038.88809,0,0,6268054038.88809,0,NA,0,"Total",1
2000,"Topline",203191888279.085,192647456071.485,10499072214.3088,203191888279.085,0,0.0544988884276414,0,"Total",1
2001,"Engines",7296862609.2297,6267826961.89725,1027723820.60713,6267826961.89725,1027723820.60713,0.163968122740906,0.163968122740906,"Total",2
2001,"Topline",215648261756.045,203191888279.085,12455977704.543,203191888279.085,12455977704.543,0.0613015500276007,0.0613015500276007,"Total",2
2002,"Engines",8343823538.14674,7296862609.2297,1046903394.83335,6267826961.89725,2073713584.88255,0.143473085749091,0.330850484145281,"Total",3
2002,"Topline",250361087723.336,215648261756.045,34712801715.2437,203191888279.085,47169030706.7504,0.160969541013565,0.232140323643056,"Total",3
2003,"Engines",10442970110.0832,8343766004.06305,2099204106.02019,6267826961.89725,4174623677.71042,0.251589522644567,0.666040033186681,"Total",4
2003,"Topline",303215483525.858,250360918985.835,52854564540.0226,203191888279.085,100023595246.773,0.211113478709562,0.492261753625667,"Total",4
2004,"Engines",8648301546.43646,10442970110.0832,-1794984919.64817,6267826961.89725,2378230501.28113,-0.171884521427004,0.379434613581171,"Total",5
2004,"Topline",320670404532.48,303215483525.858,17453506165.0269,203191888279.085,117477661924.562,0.0575613948274463,0.57816118015108,"Total",5
2005,"Engines",10081584847.9561,8647985190.43508,1433599657.52098,6267826961.89725,3787658952.58976,0.165772677213484,0.604301774062258,"Total",6
2005,"Topline",358575138398.457,320669854348.251,37905280878.9954,203191888279.085,155380330599.539,0.118206561561692,0.764697507934584,"Total",6
2006,"Engines",8044170368.28842,10081584847.9561,-2037632184.50805,6268054038.88809,1768066251.10422,-0.20211427223381,0.282075783031677,"Total",7
2006,"Topline",384861766399.513,358575135227.247,26284447570.5555,203191888279.085,181666096116.128,0.0733024824877992,0.894061754407287,"Total",7
2007,"Engines",8621494809.33671,8044170368.28842,577273278.110602,6268054038.88809,2336006000.55088,0.0717629353533235,0.372684406684737,"Total",8
2007,"Topline",416173312172.016,384859740350.874,31313571821.1417,203188486181.035,212983910468.636,0.0813635944164837,1.04820855980428,"Total",8
2008,"Engines",7140379209.03294,8621443646.39902,-1481064437.36608,6268054038.88809,850043095.40137,-0.171788449604341,0.135615151070421,"Total",9
2008,"Topline",463236973446.26,416173312172.016,47063732929.2171,203191888279.085,260042323003.452,0.113086859615266,1.27978693050129,"Total",9
2009,"Engines",7348674587.61024,7140379209.03294,208346899.473966,6268054038.88809,1061764791.74391,0.0291786883265803,0.169393050084848,"Total",10
2009,"Topline",468311044905.425,463236973446.26,5073699198.93308,203191888279.085,265117105472.357,0.0109527077711159,1.30476225068699,"Total",10
2010,"Engines",6787837319.526,7348674587.61024,-560837268.084244,6268054038.88809,533751105.102593,-0.0763181525318603,0.0851541964684907,"Total",11
2010,"Topline",436987507951.945,468310678254.867,-31323170302.9216,203191888279.085,233792521127.435,-0.0668854496755136,1.15059967751429,"Total",11
2011,"Engines",6950759529.42352,6787837319.526,162922209.897524,6268054038.88809,703558692.704561,0.0240020793410679,0.112245154291836,"Total",12
2011,"Topline",434132998999.941,436987507951.945,-2854508952.00421,203191888279.085,230933024667.255,-0.00653224382862247,1.13652679062693,"Total",12
2012,"Engines",6290805142.13555,6950759529.42352,-659954387.287973,6268054038.88809,42511721.1831069,-0.0949470895222739,0.0067822837709051,"Total",13
2012,"Topline",413213132051.777,434133037594.389,-20927629749.1745,203188451675.835,209961637220.926,-0.0482055681943451,1.03333450050546,"Total",13
2013,"Engines",6740860357.10956,6290805142.13555,450055214.974008,6268054038.88809,495912701.780264,0.0715417509850301,0.0791174898466951,"Total",14
2013,"Topline",349264196340.598,413213132051.777,-63948935711.1791,203188451675.835,145994073796.971,-0.154760172779712,0.718515607520295,"Total",14
2014,"Engines",6545932589.35213,6740860357.10956,-194927767.757426,6268054038.88809,285892440.962276,-0.0289173425098232,0.0456110364059642,"Total",15
2014,"Topline",317650186298.325,349264309947.474,-31614123649.1488,203146528285.794,114392352920.843,-0.0905163303227382,0.563102672175187,"Total",15
2015,"Engines",6368696386.87426,6545932589.35213,-177236202.477872,6268054038.88809,117990703.133565,-0.0270757756910256,0.0188241362313615,"Total",16
2015,"Topline",305814037673.692,317650186298.325,-11836182085.3923,203146562790.994,102422386989.597,-0.0372616878438605,0.504179768451086,"Total",16
2016,"Engines",7535320397.60994,6368696386.87426,1166624010.73568,6268054038.88809,1277904474.34445,0.183180974546073,0.203875790862062,"Total",17
2016,"Topline",330705303037.863,305814037673.692,24887297510.4178,203191888279.085,127219494171.767,0.0813804941713398,0.626105181900914,"Total",17
2017,"Engines",5604264204.69159,7535320397.60994,-1931056192.91835,6268054038.88809,-631894812.916796,-0.25626729734423,-0.100811959979351,"Total",18
